"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"216399";"53115";"MW00000";"GM0197    ";"2022JJ00";"9.1"
"216403";"53115";"MW00000";"WK019701  ";"2022JJ00";"6.9"
"216407";"53115";"MW00000";"BU01970101";"2022JJ00";"6.7"
"216411";"53115";"MW00000";"BU01970102";"2022JJ00";"6.9"
"216415";"53115";"MW00000";"BU01970103";"2022JJ00";"6.4"
"216419";"53115";"MW00000";"BU01970104";"2022JJ00";"6.1"
"216423";"53115";"MW00000";"BU01970105";"2022JJ00";"7.1"
"216427";"53115";"MW00000";"BU01970106";"2022JJ00";"7.2"
"216431";"53115";"MW00000";"BU01970107";"2022JJ00";"7.7"
"216435";"53115";"MW00000";"BU01970108";"2022JJ00";"6.6"
"216439";"53115";"MW00000";"BU01970109";"2022JJ00";"7"
"216443";"53115";"MW00000";"BU01970110";"2022JJ00";"6.9"
"216447";"53115";"MW00000";"BU01970111";"2022JJ00";"7.6"
"216451";"53115";"MW00000";"BU01970112";"2022JJ00";"8.9"
"216455";"53115";"MW00000";"WK019702  ";"2022JJ00";"8.2"
"216459";"53115";"MW00000";"BU01970201";"2022JJ00";"6.2"
"216463";"53115";"MW00000";"BU01970202";"2022JJ00";"6"
"216467";"53115";"MW00000";"BU01970203";"2022JJ00";"6.1"
"216471";"53115";"MW00000";"BU01970204";"2022JJ00";"8.8"
"216475";"53115";"MW00000";"WK019703  ";"2022JJ00";"9.7"
"216479";"53115";"MW00000";"BU01970301";"2022JJ00";"10.3"
"216483";"53115";"MW00000";"BU01970302";"2022JJ00";"10"
"216487";"53115";"MW00000";"BU01970303";"2022JJ00";"8"
"216491";"53115";"MW00000";"BU01970304";"2022JJ00";"8.8"
"216495";"53115";"MW00000";"BU01970305";"2022JJ00";"7.8"
"216499";"53115";"MW00000";"BU01970306";"2022JJ00";"9.5"
"216503";"53115";"MW00000";"BU01970307";"2022JJ00";"12.6"
"216507";"53115";"MW00000";"WK019704  ";"2022JJ00";"9.4"
"216511";"53115";"MW00000";"BU01970400";"2022JJ00";"11.5"
"216515";"53115";"MW00000";"BU01970401";"2022JJ00";"9.2"
"216519";"53115";"MW00000";"BU01970402";"2022JJ00";"8.9"
"216523";"53115";"MW00000";"BU01970403";"2022JJ00";"6.9"
"216527";"53115";"MW00000";"BU01970408";"2022JJ00";"6.1"
"216531";"53115";"MW00000";"BU01970409";"2022JJ00";"6.5"
"216535";"53115";"MW00000";"GM0059    ";"2022JJ00";"9.1"
"216539";"53115";"MW00000";"WK005900  ";"2022JJ00";"9.3"
"216543";"53115";"MW00000";"BU00590000";"2022JJ00";"9.2"
"216547";"53115";"MW00000";"BU00590001";"2022JJ00";"8.6"
